city,neighbourhood,description,link,House No.,Area,Price_per_month,Number_of_rooms,Floor,No_of_floors,Build_year,Building_type,Heating_system,Equipment,energy_class,Nearest_kindergarten,Nearest_educational_institution,Nearest_shop,Public_transport_stop,Description,Additional premises,Additional Equipment,Security,Flat No.,Building Energy Efficiency Class,USEFUL
Vilnius,Pašilaičiai,"Vilnius, Pašilaičiai, Gabijos g., 2 rooms flat for rent",https://en.aruodas.lt/butu-nuoma-vilniuje-pasilaiciuose-gabijos-g-jaukus-dvieju-kambariu-butukas-350-eu-4-1104091/,69,37 ,350 ,2,5,5,1988,Block house,Central,Fully equipped,1 Class Good (1-3),190.0,210.0,330.0,150.0,,,,,,,
Vilnius,Senamiestis,"Vilnius, Senamiestis, Stiklių g., 2 rooms flat for rent",https://en.aruodas.lt/butu-nuoma-vilniuje-senamiestyje-stikliu-g-jeigu-jus-seniai-svajojote-gyventi-pacioje-4-1104047/,16,57 ,750 ,2,3,3,"1940 construction, 2007 renovation",Brick,Central,Fully equipped,1 Class Good (1-3),340.0,220.0,140.0,160.0,High ceiling Flat in an attic New sewage system Private yard Internet Place of residence can be declared,Parking space Closet,Washing machine Furniture Refrigerator Kitchen furniture Stove Plastic pipes Dish washer Shower,Steel doors Code door lock,,,
Vilnius,Naujamiestis,"Vilnius, Naujamiestis, Naugarduko g., 2 rooms flat for rent",https://en.aruodas.lt/butu-nuoma-vilniuje-naujamiestyje-naugarduko-g-isnuomojamas-naujas-jaukus-tylus-butas-su-4-1104019/,,37.8 ,590 ,2,2,4,2020,Brick,Central thermostat,Fully equipped,,260.0,330.0,310.0,50.0,High ceiling New sewage system New electrical installation Kitchen merged with room,Balcony Parking space,Washing machine Furniture Refrigerator Kitchen furniture Stove Dish washer Shower,Steel doors Code door lock,,A+,
Vilnius,Trakų Vokė,"Vilnius, Trakų Vokė, J. Tiškevičiaus g., 3 rooms flat for rent",https://en.aruodas.lt/butu-nuoma-vilniuje-traku-vokeje-j-tiskeviciaus-g-isnuomuociau-3-k-buta-traku-vokeje-siuo-metu-4-1104005/,3,52 ,300 ,3,2,2,1965,Brick,Central,Fully equipped,1 Class Good (1-3),130.0,210.0,380.0,70.0,,,,,,,
Vilnius,Naujininkai,"Vilnius, Naujininkai, Kapsų g., 3 rooms flat for rent",https://en.aruodas.lt/butu-nuoma-vilniuje-naujininkuose-kapsu-g-isnuomojamas-3-kambariu-tvarkingas-butas-4-1107007/,12,48 ,500 ,3,1,2,1950,Brick,Central,Fully equipped,1 Class Good (1-3),170.0,130.0,80.0,250.0,Internet Kitchen merged with room,Parking space,Furniture Refrigerator Kitchen furniture Stove Bath,Steel doors Alarm system Code door lock,,,
Vilnius,Šnipiškės,"Vilnius, Šnipiškės, Linkmenų g., 2 rooms flat for rent",https://en.aruodas.lt/butu-nuoma-vilniuje-snipiskese-linkmenu-g-nuo-20211015-isnuomojamas-premium-klases-4-1103959/,,50 ,750 ,2,7,7,2015,Brick,Central thermostat,Fully equipped,,460.0,230.0,380.0,340.0,Internet Kitchen merged with room,Balcony Parking space,Washing machine Furniture Refrigerator Floor heating system Kitchen furniture Stove Bath Recuperation,Steel doors Alarm system Code door lock,,,
Vilnius,Justiniškės,"Vilnius, Justiniškės, Rygos g., 3 rooms flat for rent",https://en.aruodas.lt/butu-nuoma-vilniuje-justiniskese-rygos-g-isnuomojamas-erdvus-3-kambariu-butas-rygos-g-4-1092597/,46,71.5 ,700 ,3,1,6,2021,Brick,Central thermostat,Fully equipped,,310.0,310.0,200.0,230.0,,Terrace Closet,Washing machine Furniture Refrigerator Kitchen furniture Stove Dish washer Shower,Steel doors,,,
Vilnius,Užupis,"Vilnius, Užupis, Baltasis skg., 1 room flat for rent",https://en.aruodas.lt/butu-nuoma-vilniuje-uzupyje-baltasis-skg-studio-tipo-butas-uzupyje-sename-4-1062149/,,25 ,350 ,1,2,2,2000,Other,Central thermostat,Fully equipped,,360.0,170.0,310.0,130.0,,,,,,,
Vilnius,Žvėrynas,"Vilnius, Žvėrynas, Stirnų g., 2 rooms flat for rent",https://en.aruodas.lt/butu-nuoma-vilniuje-zveryne-stirnu-g-nuo-spalio-29-dienos-nuomuojamas-2-kambariu-4-642671/,21,51 ,680 ,2,6,6,2016,Brick,Central thermostat,Fully equipped,1 Class Good (1-3),420.0,420.0,350.0,240.0,,,,,,,
Vilnius,Pašilaičiai,"Vilnius, Pašilaičiai, Virbeliškių g., 2 rooms flat for rent",https://en.aruodas.lt/butu-nuoma-vilniuje-pasilaiciuose-virbeliskiu-g-nuomojamas-erdvus-2-kambariu-butas-4-1103849/,,52 ,450 ,2,7,7,2013,Brick,Central thermostat,Fully equipped,1 Class Good (1-3),140.0,370.0,110.0,120.0,High ceiling Internet Kitchen merged with room,Balcony Parking space,Washing machine Furniture Refrigerator Kitchen furniture Stove Shower,Steel doors Code door lock,,,
Vilnius,Šnipiškės,"Vilnius, Šnipiškės, Lvovo g., 2 rooms flat for rent",https://en.aruodas.lt/butu-nuoma-vilniuje-snipiskese-lvovo-g-nuo-gruodzio-1d-isnuomojamas-naujai-irengtas-4-1106927/,81,49 ,700 ,2,8,9,2019,Monolithic,Central thermostat,Fully equipped,,370.0,200.0,550.0,110.0,Private yard,,Washing machine Furniture Refrigerator Floor heating system Kitchen furniture Stove Dish washer Shower Recuperation,Steel doors,,A+,
Vilnius,Senamiestis,"Vilnius, Senamiestis, Aguonų g., 2 rooms flat for rent",https://en.aruodas.lt/butu-nuoma-vilniuje-senamiestyje-aguonu-g-isnuomojami-naujai-irengtas-butas-4-1103821/,,45 ,1 000 ,2,2,3,2019,Brick,Central thermostat,Fully equipped,,240.0,100.0,190.0,230.0,,,,,,,
Vilnius,Karoliniškės,"Vilnius, Karoliniškės, Igno Šimulionio g., 3 rooms flat for rent",https://en.aruodas.lt/butu-nuoma-vilniuje-karoliniskese-igno-simulionio-g-nuomojamas-butas-nuo-spalio-mennuomojamas-4-1103785/,5,78 ,950 ,3,1,3,2007,Brick,Central thermostat,Fully equipped,,340.0,120.0,360.0,450.0,Kitchen merged with room,Balcony,Refrigerator Kitchen furniture Stove Dish washer Shower,Steel doors Code door lock,,,
Vilnius,Naujamiestis,"Vilnius, Naujamiestis, S. Konarskio g., 2 rooms flat for rent",https://en.aruodas.lt/butu-nuoma-vilniuje-naujamiestyje-s-konarskio-g-isnuomojamas-jaukus-sviesus-ir-erdvus-2-4-1103741/,,60 ,640 ,2,4,9,2000,Brick,Electric,Fully equipped,,290.0,170.0,360.0,100.0,,,,,,,
Vilnius,Pilaitė,"Vilnius, Pilaitė, Vydūno g., 3 rooms flat for rent",https://en.aruodas.lt/butu-nuoma-vilniuje-pilaiteje-vyduno-g-4-1054977/,,71 ,420 ,3,3,9,1994,Block house,Central,Fully equipped,,220.0,90.0,250.0,50.0,,,,,,,
Vilnius,Antakalnis,"Vilnius, Antakalnis, Klinikų g., 1 room flat for rent",https://en.aruodas.lt/butu-nuoma-vilniuje-antakalnyje-kliniku-g-buto-nuoma-be-tarpininku-kaina-400-euru-4-1103651/,7,32 ,400 ,1,1,4,1963,Brick,Central,Fully equipped,,230.0,340.0,110.0,280.0,,Closet,Washing machine Furniture Kitchen furniture Stove Shower,Steel doors Alarm system Code door lock,,,
Vilnius,Baltupiai,"Vilnius, Baltupiai, Didlaukio g., 2 rooms flat for rent",https://en.aruodas.lt/butu-nuoma-vilniuje-baltupiuose-didlaukio-g-po-remonto-niekas-negyveno-nuo-lapkricio-1-d-4-1106691/,80,43 ,370 ,2,4,12,1981,Brick,Central,Fully equipped,1 Class Good (1-3),190.0,210.0,110.0,80.0,Kitchen merged with room,,Washing machine Furniture Refrigerator Kitchen furniture Stove,Steel doors Code door lock,,,
Vilnius,Senamiestis,"Vilnius, Senamiestis, Tilto g., 3 rooms flat for rent",https://en.aruodas.lt/butu-nuoma-vilniuje-senamiestyje-tilto-g-isnuomojamas-isskirtinai-jaukus-3k-103-kv-4-1103609/,,103 ,1 250 ,3,5,5,1938,Brick,Central,Fully equipped,,590.0,210.0,280.0,110.0,High ceiling New electrical installation Private yard,Balcony,Washing machine Furniture Refrigerator Kitchen furniture Stove Dish washer Shower Bath,Steel doors Code door lock,,,
Vilnius,Šnipiškės,"Vilnius, Šnipiškės, Linkmenų g., 1 room flat for rent",https://en.aruodas.lt/butu-nuoma-vilniuje-snipiskese-linkmenu-g-nuomojamas-naujai-irengtas-vieno-kambario-4-1103561/,33,39 ,650 ,1,4,4,2021,Brick,Central,Fully equipped,,670.0,470.0,460.0,500.0,New sewage system New electrical installation Private yard,Balcony Closet,Washing machine Furniture Refrigerator Kitchen furniture Stove Dish washer Shower Recuperation,Steel doors Code door lock,,A+,
Vilnius,Žirmūnai,"Vilnius, Žirmūnai, Tuskulėnų g., 2 rooms flat for rent",https://en.aruodas.lt/butu-nuoma-vilniuje-zirmunuose-tuskulenu-g-nuoma-savininkas-be-jokiu-agenturu-mokescio-4-1103307/,38,47 ,650 ,2,3,5,1969,Block house,Central,Fully equipped,1 Class Good (1-3),10.0,120.0,390.0,110.0,New sewage system New electrical installation,Balcony,Conditioner Washing machine Furniture Refrigerator Kitchen furniture Stove Plastic pipes Shower Recuperation,Steel doors Alarm system Code door lock,,,
Vilnius,Naujamiestis,"Vilnius, Naujamiestis, Gedimino pr., 4 rooms flat for rent",https://en.aruodas.lt/butu-nuoma-vilniuje-naujamiestyje-gedimino-pr-nuomojamas-butas-gedimino-prospekte-nuo-4-1104497/,49,90 ,1 000 ,4,2,4,1959,Brick,Central,Fully equipped,1 Class Good (1-3),300.0,80.0,200.0,140.0,High ceiling New electrical installation Private yard Internet,Parking space,Washing machine Furniture Refrigerator Kitchen furniture Stove Plastic pipes Dish washer Bath Recuperation,Steel doors Code door lock,,C,
Vilnius,Žvėrynas,"Vilnius, Žvėrynas, Deltuvos g., 2 rooms flat for rent",https://en.aruodas.lt/butu-nuoma-vilniuje-zveryne-deltuvos-g-butas-zveryno-panoramose-su-stovejimo-vieta-4-1103535/,,40.46 ,670 ,2,5,9,2020,Monolithic,Central,Fully equipped,,420.0,360.0,330.0,230.0,Private yard Kitchen merged with room,Balcony Parking space,Washing machine Furniture Refrigerator Kitchen furniture Shower Recuperation,Code door lock,,,
Vilnius,Senamiestis,"Vilnius, Senamiestis, Gedimino pr., 2 rooms flat for rent",https://en.aruodas.lt/butu-nuoma-vilniuje-senamiestyje-gedimino-pr-prestizineje-vietoje-vilniaus-senamiestyje-4-1103509/,13,57.22 ,1 100 ,2,2,4,1952,Brick,Central,Fully equipped,1 Class Good (1-3),250.0,370.0,50.0,30.0,High ceiling New sewage system New electrical installation Private yard Internet Cable television Kitchen merged with room Place of residence can be declared,Storeroom Cellar Parking space,Conditioner Washing machine Furniture Refrigerator Floor heating system Kitchen furniture Stove Plastic pipes Dish washer Shower Bath Recuperation,Steel doors Alarm system Code door lock,,,
